City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Samarai,PG,86.86,broken clouds,-10.6167,150.6667,Nuli Sapi
3,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
6,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
15,Rockhampton,AU,82.29,scattered clouds,-23.3833,150.5,Mercure Rockhampton
19,Puerto Ayora,EC,78.12,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Payo,ID,88.99,few clouds,-3.7508,103.6372,Mess keban agung
30,Atuona,PF,79.43,few clouds,-9.8,-139.0333,Villa Enata
31,Honiara,SB,81.37,overcast clouds,-9.4333,159.95,Heritage Park Hotel
35,Hervey Bay,AU,76.46,few clouds,-25.2986,152.8535,Shelly Bay Resort
37,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
39,Carolina,PR,75.09,few clouds,18.3808,-65.9574,Motel Fantasy Star
41,Rikitea,PF,79.39,clear sky,-23.1203,-134.9692,People ThankYou
42,Butaritari,KI,81.5,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
46,Hobart,AU,81.23,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
55,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Dalbandin,PK,78.73,clear sky,28.8947,64.4101,Sanjrani House
61,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Yanam,IN,90.0,scattered clouds,16.7333,82.2167,The Regency Hotel
63,Cockburn Town,TC,77.54,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
64,Hithadhoo,MV,82.31,few clouds,-0.6,73.0833,Scoop Guest House
72,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
74,Dingle,PH,89.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
81,Caravelas,BR,75.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
82,Mucurapo,TT,77.05,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
83,Amahai,ID,86.31,light rain,-3.3333,128.9167,HOTEL ISABELA
84,Lorengau,PG,83.75,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
86,Jizan,SA,76.14,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
87,Looc,PH,86.29,light rain,12.2605,121.9926,Cummings Highlands
100,Broken Hill,AU,80.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
103,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
104,Santa Marta,CO,82.89,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
105,La Asuncion,VE,76.35,broken clouds,11.0333,-63.8628,Colinas de Matasiete
108,Luwuk,ID,85.19,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
117,Victoria,HK,75.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
119,Carnarvon,AU,87.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
121,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
128,Victor Harbor,AU,79.72,overcast clouds,-35.5667,138.6167,McCracken Country Club
131,Champerico,GT,82.31,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
132,Kupang,ID,84.49,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
136,Itarema,BR,75.31,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
137,Kavieng,PG,84.43,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
138,Geraldton,AU,82.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
149,Vao,NC,76.1,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
152,New Norfolk,AU,80.89,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
161,Bengkulu,ID,85.1,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
165,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
175,Rantepao,ID,85.82,scattered clouds,-2.9701,119.8978,Hotel Luta Resort
176,Codrington,AU,82.31,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
177,Touros,BR,78.04,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
182,Tawagan,PH,81.01,overcast clouds,7.845,123.4753,Pensione de Yllana
183,Arraial Do Cabo,BR,76.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
184,La Libertad,EC,76.82,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
187,Nabire,ID,87.04,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
189,Warri,NG,78.57,few clouds,5.5167,5.75,BON Hotel Delta
193,Sinnamary,GF,77.05,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
196,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
205,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
207,Namatanai,PG,85.14,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
214,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
218,Oistins,BB,77.09,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
219,Tautira,PF,81.41,light rain,-17.7333,-149.15,Pension Oaoa
221,Padang,ID,87.85,clear sky,-0.9492,100.3543,Mercure Padang
222,Jertih,MY,87.87,broken clouds,5.7336,102.4897,One Utama Hotel
229,Banda Aceh,ID,84.81,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
231,Kathu,TH,87.69,clear sky,7.9178,98.3332,Novotel Phuket Resort
232,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
236,Myitkyina,MM,84.54,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
247,Bathsheba,BB,77.61,clear sky,13.2167,-59.5167,Atlantis Hotel
249,Harper,LR,78.76,overcast clouds,4.375,-7.7169,Screensaver
250,Boundiali,CI,75.92,broken clouds,9.5217,-6.4869,Hotel Paysan Boundiali
258,Benguela,AO,76.75,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
259,Kolokani,ML,82.18,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
262,Luanda,AO,78.69,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
263,Parrita,CR,77.65,overcast clouds,9.5201,-84.3225,Beso del Viento
264,Manta,EC,78.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
265,Lar,IN,88.88,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
267,Sabang,ID,82.35,few clouds,5.8933,95.3214,Hotel Citra
268,Murud,IN,85.69,few clouds,18.3258,72.965,On Point Plaza
269,Pandan,PH,85.03,few clouds,14.0453,124.1694,Bonifacio Lodge
272,Kahului,US,77.02,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
273,Innisfail,AU,83.3,broken clouds,-17.5333,146.0333,Moondarra Motel
279,Bandarbeyla,SO,76.75,clear sky,9.4942,50.8122,JABIR HOTEL
290,Faanui,PF,82.0,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
301,Palauig,PH,87.28,clear sky,15.435,119.9045,Alperi Botique Resort
302,Takoradi,GH,79.32,overcast clouds,4.8845,-1.7554,Raybow International Hotel
303,Mandera,KE,82.45,scattered clouds,3.9366,41.867,Hiren Hotel Mandera
311,Bubaque,GW,76.14,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
314,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
324,Mapastepec,MX,76.19,scattered clouds,15.4333,-92.9,Hotel San Carlos
328,Phangnga,TH,87.84,clear sky,8.4509,98.5298,Sunimit Mansion
338,Acapulco,MX,76.75,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
355,Manggar,ID,85.89,few clouds,-2.8833,108.2667,Guest Hotel
357,Bambous Virieux,MU,81.21,few clouds,-20.3428,57.7575,Casa Tia Villa
358,Sur,OM,84.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
359,Nhulunbuy,AU,88.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
363,Gambela,ET,79.36,broken clouds,8.25,34.5833,Solomon Debebe Hotel
