City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Husavik,IS,66.0449,-17.3389,35.82,83,99,14.9,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,20,11.5,few clouds
2,Samarai,PG,-10.6167,150.6667,86.86,68,66,15.88,broken clouds
3,Cayenne,GF,4.9333,-52.3333,80.1,1,75,4.61,broken clouds
4,Bluff,NZ,-46.6,168.3333,58.87,74,0,6.62,clear sky
5,Beringovskiy,RU,63.05,179.3167,10.22,93,93,4.9,overcast clouds
6,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,20,10.51,few clouds
7,College,US,64.8569,-147.8028,37.72,58,75,0.0,broken clouds
8,Ushuaia,AR,-54.8,-68.3,42.46,100,100,18.41,moderate rain
9,Nantucket,US,41.2835,-70.0995,44.71,84,75,17.27,broken clouds
10,Shimoda,JP,34.6667,138.95,68.36,74,57,2.46,broken clouds
11,Hilo,US,19.7297,-155.09,74.93,82,40,12.66,scattered clouds
12,Upernavik,GL,72.7868,-56.1549,14.41,88,100,6.46,overcast clouds
13,Ribeira Grande,PT,38.5167,-28.7,60.67,84,69,8.59,broken clouds
14,Narsaq,GL,60.9167,-46.05,23.22,72,53,4.99,broken clouds
15,Rockhampton,AU,-23.3833,150.5,82.29,61,48,9.22,scattered clouds
16,Port Alfred,ZA,-33.5906,26.891,65.17,92,49,8.52,scattered clouds
17,Nikolskoye,RU,59.7035,30.7861,25.88,77,100,15.35,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,61.2,86,7,10.11,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,78.12,85,100,7.29,overcast clouds
20,Gusinoye Ozero,RU,51.1144,106.2614,31.21,52,82,1.3,broken clouds
21,Payo,ID,-3.7508,103.6372,88.99,56,16,3.33,few clouds
22,Hermanus,ZA,-34.4187,19.2345,62.8,86,8,12.39,clear sky
23,Lasa,IT,46.6166,10.7002,41.02,68,2,1.01,clear sky
24,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,95,100,9.22,overcast clouds
25,Karpogory,RU,64.0019,44.4451,14.41,89,100,17.52,light snow
26,Barrow,US,71.2906,-156.7887,1.42,71,0,21.85,clear sky
27,Berlevag,NO,70.8578,29.0864,22.8,68,100,22.5,light snow
28,Busselton,AU,-33.65,115.3333,71.44,54,59,18.25,broken clouds
29,Kambove,CD,-10.8764,26.5969,59.77,93,100,1.9,overcast clouds
30,Atuona,PF,-9.8,-139.0333,79.43,78,15,18.28,few clouds
31,Honiara,SB,-9.4333,159.95,81.37,81,100,5.03,overcast clouds
32,Avera,US,33.194,-82.5271,55.45,43,5,11.5,clear sky
33,Mar Del Plata,AR,-38.0023,-57.5575,60.82,88,100,9.22,overcast clouds
34,Constitucion,CL,-35.3333,-72.4167,52.12,89,37,7.23,scattered clouds
35,Hervey Bay,AU,-25.2986,152.8535,76.46,76,19,7.87,few clouds
36,Nardaran,AZ,40.5561,50.0056,46.04,87,75,16.11,broken clouds
37,Vaini,TO,-21.2,-175.2,80.76,78,40,11.5,scattered clouds
38,Nikolayevka,RU,53.1257,47.2041,33.67,99,100,11.77,snow
39,Carolina,PR,18.3808,-65.9574,75.09,87,20,0.0,few clouds
40,Saldanha,ZA,-33.0117,17.9442,60.85,71,36,3.36,scattered clouds
41,Rikitea,PF,-23.1203,-134.9692,79.39,71,2,13.44,clear sky
42,Butaritari,KI,3.0707,172.7902,81.5,71,32,13.56,scattered clouds
43,Mataura,NZ,-46.1927,168.8643,69.48,50,0,3.22,clear sky
44,Grindavik,IS,63.8424,-22.4338,34.27,100,100,9.22,light rain and snow
45,Lavrentiya,RU,65.5833,-171.0,15.69,91,100,2.21,overcast clouds
